LEANDRO FERREIRA;47651
LEME DO PRADO;40967
LEOPOLDINA;47678
LIBERDADE;47694
LIMA DUARTE;47716
LIMEIRA DO OESTE;40363
LONTRA;40380
LUISBURGO;40983
LUISLÂNDIA;41009
LUMINÁRIAS;47732
LUZ;47759
MÁRIO CAMPOS;41025
MACHACALIS;47775
MACHADO;47791
MADRE DE DEUS DE MINAS;47813
MALACACHETA;47830
MAMONAS;40401
MANGA;47856
MANHUAÇU;47872
MANHUMIRIM;47899
MANTENA;47910
MAR DE ESPANHA;47953
MARAVILHAS;47937
MARIA DA FÉ;47970
MARIANA;47996
MARILAC;48011
MARIPÁ DE MINAS;48038
MARLIÉRIA;48054
MARMELÓPOLIS;48070
MARTINHO CAMPOS;48097
MARTINS SOARES;41041
MATA VERDE;40428
MATERLÂNDIA;48119
MATEUS LEME;48135
MATHIAS LOBATO;54313
MATIAS BARBOSA;48151
MATIAS CARDOSO;40444
MATIPÓ;48178
MATO VERDE;48194
MATOZINHOS;48216
MATUTINA;48232
MEDEIROS;48259
MEDINA;48275
MENDES PIMENTEL;48291
MERCÊS;48313
MESQUITA;48330
MINAS NOVAS;48356
MINDURI;48372
MIRAÍ;48437
MIRABELA;48399
MIRADOURO;48410
MIRAVÂNIA;41068
MOEDA;48453
MOEMA;48470
MONJOLOS;48496
MONSENHOR PAULO;48518
MONTALVÂNIA;48534
MONTE ALEGRE DE MINAS;48550
MONTE AZUL;48577
MONTE BELO;48593
MONTE CARMELO;48615
MONTE FORMOSO;41084
MONTE SANTO DE MINAS;48631
MONTE SIÃO;48674
MONTES CLAROS;48658
MONTEZUMA;40460
MORADA NOVA DE MINAS;48690
MORRO DA GARÇA;48712
MORRO DO PILAR;48739
MUNHOZ;48755
MURIAÉ;48771
MUTUM;48798
MUZAMBINHO;48810
NACIP RAYDAN;48836
NANUQUE;48852
NAQUE;40487
NATÉRCIA;48879
NATALÂNDIA;41106
NAZARENO;48895
NEPOMUCENO;48917
NINHEIRA;41122
NOVA BELÉM;41149
NOVA ERA;48933
NOVA LIMA;48950
NOVA MÓDICA;48976
NOVA PONTE;48992
NOVA PORTEIRINHA;41165
NOVA RESENDE;49018
NOVA SERRANA;49034
NOVA UNIÃO;47317
NOVO CRUZEIRO;49050
NOVO ORIENTE DE MINAS;40509
NOVORIZONTE;41181
OLÍMPIO NORONHA;49093
OLARIA;49077
OLHOS D'ÁGUA;41203
OLIVEIRA FORTES;49131
OLIVEIRA;49115
ONÇA DE PITANGUI;49158
ORATÓRIOS;41220
ORIZÂNIA;41246
OURO BRANCO;49174
OURO FINO;49190
OURO PRETO;49212
OURO VERDE DE MINAS;49239
PADRE CARVALHO;41262
PADRE PARAÍSO;49255
PAI PEDRO;41289
PAINEIRAS;49271
PAINS;49298
PAIVA;49310
PALMÓPOLIS;40525
PALMA;49336
PAPAGAIOS;49379
PARÁ DE MINAS;49417
PARACATU;49395
PARAGUAÇU;49433
PARAISÓPOLIS;49450
PARAOPEBA;49476
PASSA QUATRO;49514
PASSA TEMPO;49530
PASSA VINTE;49557
PASSABÉM;49492
PASSOS;49573
PATIS;41300
PATOS DE MINAS;49590
PATROCÍNIO DO MURIAÉ;49638
PATROCÍNIO;49611
PAULA CÂNDIDO;49654
PAULISTAS;49670
PAVÃO;49697
PEÇANHA;49719
PEDRA AZUL;49735
PEDRA BONITA;41327
PEDRA DO ANTA;49751
PEDRA DO INDAIÁ;49778
PEDRA DOURADA;49794
PEDRALVA;49816
PEDRAS DE MARIA DA CRUZ;40541
PEDRINÓPOLIS;49832
PEDRO LEOPOLDO;49859
PEDRO TEIXEIRA;49875
PEQUERI;49891
PEQUI;49913
PERDÕES;49972
PERDIGÃO;49930
PERDIZES;49956
PERIQUITO;40568
PESCADOR;49999
PIAU;50016
PIEDADE DE CARATINGA;41343
PIEDADE DE PONTE NOVA;50032
PIEDADE DO RIO GRANDE;50059
PIEDADE DOS GERAIS;50075
PIMENTA;50091
PINGO D'ÁGUA;41360
PINTÓPOLIS;41386
PIRAÚBA;50253
PIRACEMA;50113
PIRAJUBA;50130
PIRANGA;50156
PIRANGUÇU;50172
PIRANGUINHO;50199
PIRAPETINGA;50210
PIRAPORA;50237
PITANGUI;50270
PIUMHI;50296
PLANURA;50318
POÇO FUNDO;50334
POÇOS DE CALDAS;50350
POCRANE;50377
POMPÉU;50393
PONTE NOVA;50415
PONTO CHIQUE;41408
PONTO DOS VOLANTES;40584
PORTEIRINHA;50431
PORTO FIRME;50458
POTÉ;50474
POUSO ALEGRE;50490
POUSO ALTO;50512
PRADOS;50539
PRATÁPOLIS;50571
PRATA;50555
PRATINHA;50598
PRESIDENTE BERNARDES;50610
PRESIDENTE JUSCELINO;50636
PRESIDENTE KUBITSCHEK;50652
PRESIDENTE OLEGÁRIO;50679
PRUDENTE DE MORAIS;50717
QUARTEL GERAL;50733
QUELUZITO;50750
RAPOSOS;50776
RAUL SOARES;50792
RECREIO;50814
REDUTO;41424
RESENDE COSTA;50830
RESPLENDOR;50857
RESSAQUINHA;50873
RIACHINHO;40606
RIACHO DOS MACHADOS;50890
RIBEIRÃO DAS NEVES;50911
RIBEIRÃO VERMELHO;50938
RIO ACIMA;50954
RIO CASCA;50970
RIO DO PRADO;51012
RIO DOCE;50997
RIO ESPERA;51039
RIO MANSO;51055
RIO NOVO;51071
RIO PARANAÍBA;51098
RIO PARDO DE MINAS;51110
RIO PIRACICABA;51136
RIO POMBA;51152
RIO PRETO;51179
RIO VERMELHO;51195
RITÁPOLIS;51217
ROCHEDO DE MINAS;51233
RODEIRO;51250
ROMARIA;51276
ROSÁRIO DA LIMEIRA;40622
RUBELITA;51292
RUBIM;51314
SÃO BENTO ABADE;52159
SÃO BRÁS DO SUAÇUÍ;52175
SÃO DOMINGOS DAS DORES;41548
SÃO DOMINGOS DO PRATA;52191
SÃO FÉLIX DE MINAS;41564
SÃO FRANCISCO DE PAULA;52230
SÃO FRANCISCO DE SALES;52256
SÃO FRANCISCO DO GLÓRIA;52272
SÃO FRANCISCO;52213
SÃO GERALDO DA PIEDADE;52310
SÃO GERALDO DO BAIXIO;41580
SÃO GERALDO;52299
SÃO GONÇALO DO ABAETÉ;52337
SÃO GONÇALO DO PARÁ;52353
SÃO GONÇALO DO RIO ABAIXO;52370
SÃO GONÇALO DO RIO PRETO;45098
SÃO GONÇALO DO SAPUCAÍ;52396
SÃO GOTARDO;52418
SÃO JOÃO BATISTA DO GLÓRIA;52434
SÃO JOÃO DA LAGOA;40703
SÃO JOÃO DA MATA;52450
SÃO JOÃO DA PONTE;52477
SÃO JOÃO DAS MISSÕES;41602
SÃO JOÃO DEL REI;52493
SÃO JOÃO DO MANHUAÇU;40720
SÃO JOÃO DO MANTENINHA;40746
SÃO JOÃO DO ORIENTE;52515
SÃO JOÃO DO PACUÍ;40762
SÃO JOÃO DO PARAÍSO;52531
SÃO JOÃO EVANGELISTA;52558
SÃO JOÃO NEPOMUCENO;52574
SÃO JOAQUIM DE BICAS;41629
SÃO JOSÉ DA BARRA;41645
SÃO JOSÉ DA LAPA;40789
SÃO JOSÉ DA SAFIRA;52590
SÃO JOSÉ DA VARGINHA;52612
SÃO JOSÉ DO ALEGRE;52639
SÃO JOSÉ DO DIVINO;52655
SÃO JOSÉ DO GOIABAL;52671
SÃO JOSÉ DO JACURI;52698
SÃO JOSÉ DO MANTIMENTO;52710
SÃO LOURENÇO;52736
SÃO MIGUEL DO ANTA;52752
SÃO PEDRO DA UNIÃO;52779
SÃO PEDRO DO SUAÇUÍ;52817
SÃO PEDRO DOS FERROS;52795
SÃO ROMÃO;52833
SÃO ROQUE DE MINAS;52850
