DESTERRO DO MELO;44296;3264
DIAMANTINA;44318;36215
DIOGO DE VASCONCELOS;44334;3501
DIONISIO;44350;7325
DIVINESIA;44377;4041
DIVINO DAS LARANJEIRAS;44415;4788
DIVINO;44393;15603
DIVINOLANDIA DE MINAS;44431;6464
DIVINOPOLIS;44458;158937
DIVISA ALEGRE;40126;5048
DIVISA NOVA;44474;4961
DIVISOPOLIS;40142;6415
DOM BOSCO;42048;3521
DOM CAVATI;44490;5006
DOM JOAQUIM;44512;3985
DOM SILVERIO;44539;4590
DOM VICOSO;44555;2861
DONA EUSEBIA;44571;5393
DORES DE CAMPOS;44598;7703
DORES DE GUANHAES;44610;5140
DORES DO INDAIA;44636;11439
DORES DO TURVO;44652;5197
DORESOPOLIS;44679;1975
DOURADOQUARA;44695;1844
DURANDE;40169;6581
ELOI MENDES;44717;19685
ENGENHEIRO CALDAS;44733;7718
ENGENHEIRO NAVARRO;44750;6362
ENTRE FOLHAS;40185;5870
ENTRE RIOS DE MINAS;44776;11943
ERVALIA;44792;16472
ESMERALDAS;44814;45206
ESPERA FELIZ;44830;16429
ESPINOSA;44857;20975
ESPIRITO SANTO DO DOURADO;44873;4575
ESTIVA;44890;8866
ESTRELA DALVA;44911;2669
ESTRELA DO INDAIA;44938;3102
ESTRELA DO SUL;44954;6012
EUGENOPOLIS;44970;8614
EWBANK DA CAMARA;44997;4110
EXTREMA;45012;28333
FAMA;45039;2990
FARIA LEMOS;45055;3139
FELICIO DOS SANTOS;45071;4981
FELISBURGO;45110;5623
FELIXLANDIA;45136;11986
FERNANDES TOURINHO;45152;2904
FERROS;45179;8850
FERVEDOURO;40207;8644
FLORESTAL;45195;6180
FORMIGA;45217;54392
FORMOSO;45233;6012
FORTALEZA DE MINAS;45250;3519
FORTUNA DE MINAS;45276;2855
FRANCISCO BADARO;45292;7592
FRANCISCO DUMONT;45314;4644
FRANCISCO SA;45330;19195
FRANCISCOPOLIS;40223;5250
FREI GASPAR;45357;5317
FREI INOCENCIO;45373;7219
FREI LAGONEGRO;42064;3086
FRONTEIRA DOS VALES;49352;4448
FRONTEIRA;45390;10492
FRUTA DE LEITE;42080;5262
FRUTAL;45411;41597
FUNILANDIA;45438;4488
GALILEIA;45454;5466
GAMELEIRAS;42102;4403
GLAUCILANDIA;42129;3676
GOIABEIRA;42145;3183
GOIANA;42161;3952
GONCALVES;45470;3905
GONZAGA;45497;4827
GOUVEIA;45519;10740
GOVERNADOR VALADARES;45535;203793
GRAO MOGOL;45551;12201
GRUPIARA;45578;1590
GUANHAES;45594;24680
GUAPE;45616;10685
GUARACIABA;45632;8452
GUARACIAMA;42188;4551
GUARANESIA;45659;15355
GUARANI;45675;7288
GUARARA;45691;3605
GUARDA-MOR;45713;6044
GUAXUPE;45730;38355
GUIDOVAL;45756;5894
GUIMARANIA;45772;6645
GUIRICEMA;45799;7219
GURINHATA;45810;5386
HELIODORA;45837;5196
IAPU;45853;8535
IBERTIOGA;45870;4839
IBIA;45896;17531
IBIAI;45918;6606
IBIRACATU;42200;6003
IBIRACI;45934;9063
IBIRITE;45950;110476
IBITIURA DE MINAS;45977;3146
IBITURUNA;45993;2598
ICARAI DE MINAS;40240;7901
IGARAPE;46019;28165
IGARATINGA;46035;7470
IGUATAMA;46051;6737
IJACI;46078;5198
ILICINEA;46094;9686
IMBE DE MINAS;42226;6185
INCONFIDENTES;46116;6454
INDAIABIRA;42242;6481
INDIANOPOLIS;46132;4906
INGAI;46159;3018
INHAPIM;46175;19986
INHAUMA;46191;5396
INIMUTABA;46213;6045
IPABA;40266;14297
IPANEMA;46230;15183
IPATINGA;46256;183169
IPIACU;46272;3580
IPUIUNA;46299;7769
IRAI DE MINAS;46310;5501
ITABIRA;46337;89768
ITABIRINHA;46353;8892
ITABIRITO;46370;39486
ITACAMBIRA;46396;4934
ITACARAMBI;46418;13689
ITAGUARA;46434;9961
ITAIPE;46450;8777
ITAJUBA;46477;71826
ITAMARANDIBA;46493;24323
ITAMARATI DE MINAS;46515;3762
ITAMBACURI;46531;18485
ITAMBE DO MATO DENTRO;46558;2591
ITAMOGI;46574;9490
ITAMONTE;46590;11301
ITANHANDU;46612;12050
ITANHOMI;46639;10203
ITAOBIM;46655;16881
ITAPAGIPE;46671;10291
ITAPECERICA;46698;17550
ITAPEVA;46710;7105
ITATIAIUCU;46736;9438
ITAU DE MINAS;54453;12660
ITAUNA;46752;68004
ITAVERAVA;46779;5754
ITINGA;46795;11432
ITUETA;46817;4590
ITUIUTABA;46833;77519
ITUMIRIM;46850;5928
ITURAMA;46876;29212
ITUTINGA;46892;3786
JABOTICATUBAS;46914;13737
JACINTO;46930;9137
JACUI;46957;6501
JACUTINGA;46973;17922
JAGUARACU;46990;3091
JAIBA;40282;23463
JAMPRUCA;40304;4173
JANAUBA;47015;51111
JANUARIA;47031;48816
JAPARAIBA;47058;3374
JAPONVAR;42269;8142
JECEABA;47074;5908
JENIPAPO DE MINAS;42285;5942
JEQUERI;47090;10390
JEQUITAI;47112;6970
JEQUITIBA;47139;5687
JEQUITINHONHA;47155;18152
JESUANIA;47171;4286
JOAIMA;47198;11198
JOANESIA;47210;5078
JOAO MONLEVADE;47236;59077
JOAO PINHEIRO;47252;36993
JOAQUIM FELICIO;47279;3314
JORDANIA;47295;8173
JOSE GONCALVES DE MINAS;42307;4028
JOSE RAYDAN;42323;4365
JOSENOPOLIS;40924;3808
JUATUBA;40320;20343
JUIZ DE FORA;47333;395425
JURAMENTO;47350;4243
JURUAIA;47376;8072
JUVENILIA;40940;5743
LADAINHA;47392;12706
LAGAMAR;47414;6543
LAGOA DA PRATA;47430;34614
LAGOA DOS PATOS;47457;3994
LAGOA DOURADA;47473;9706
LAGOA FORMOSA;47490;13727
LAGOA GRANDE;40347;7191
LAGOA SANTA;47511;42431
LAJINHA;47538;15944
LAMBARI;47554;16455
LAMIM;47570;3398
LARANJAL;47597;5684
LASSANCE;47619;5994
LAVRAS;47635;71345
LEANDRO FERREIRA;47651;3302
LEME DO PRADO;40967;4109
LEOPOLDINA;47678;40502
LIBERDADE;47694;4428
LIMA DUARTE;47716;14004
LIMEIRA DO OESTE;40363;5664
LONTRA;40380;7981
LUISBURGO;40983;5436
LUISLANDIA;41009;6236
LUMINARIAS;47732;4413
LUZ;47759;14815
MACHACALIS;47775;5901
MACHADO;47791;29481
MADRE DE DEUS DE MINAS;47813;4068
MALACACHETA;47830;15689
MAMONAS;40401;5758
MANGA;47856;16333
MANHUACU;47872;56091
MANHUMIRIM;47899;16604
MANTENA;47910;19611
MAR DE ESPANHA;47953;9439
MARAVILHAS;47937;6130
MARIA DA FE;47970;12369
MARIANA;47996;46560
MARILAC;48011;4158
MARIO CAMPOS;41025;11206
MARIPA DE MINAS;48038;3024
MARLIERIA;48054;4223
MARMELOPOLIS;48070;2791
MARTINHO CAMPOS;48097;11292
MARTINS SOARES;41041;6875
MATA VERDE;40428;6232
MATERLANDIA;48119;4559
MATEUS LEME;48135;23368
MATHIAS LOBATO;54313;3125
MATIAS BARBOSA;48151;11536
MATIAS CARDOSO;40444;6739
MATIPO;48178;15196
MATO VERDE;48194;10656
MATOZINHOS;48216;29063
MATUTINA;48232;3572
MEDEIROS;48259;3119
MEDINA;48275;16477
MENDES PIMENTEL;48291;5415
MERCES;48313;8472
MESQUITA;48330;5558
MINAS NOVAS;48356;23033
MINDURI;48372;3395
MIRABELA;48399;11154
MIRADOURO;48410;7645
MIRAI;48437;10555
MIRAVANIA;41068;4055
MOEDA;48453;5462
MOEMA;48470;6635
MONJOLOS;48496;2417
MONSENHOR PAULO;48518;6787
MONTALVANIA;48534;13209
MONTE ALEGRE DE MINAS;48550;15492
MONTE AZUL;48577;17935
MONTE BELO;48593;10807
MONTE CARMELO;48615;35835
MONTE FORMOSO;41084;4507
MONTE SANTO DE MINAS;48631;17280
MONTE SIAO;48674;17659
MONTES CLAROS;48658;262496
MONTEZUMA;40460;5615
MORADA NOVA DE MINAS;48690;7549
MORRO DA GARCA;48712;2647
MORRO DO PILAR;48739;3450
MUNHOZ;48755;6065
MURIAE;48771;77046
MUTUM;48798;21204
MUZAMBINHO;48810;17614
NACIP RAYDAN;48836;3150
NANUQUE;48852;31168
NAQUE;40487;5501
NATALANDIA;41106;3021
NATERCIA;48879;4211
NAZARENO;48895;6308
NEPOMUCENO;48917;20561
NINHEIRA;41122;8072
NOVA BELEM;41149;3296
NOVA ERA;48933;15199
NOVA LIMA;48950;67756
NOVA MODICA;48976;3295
NOVA PONTE;48992;11539
NOVA PORTEIRINHA;41165;5089
NOVA RESENDE;49018;12304
NOVA SERRANA;49034;51050
NOVA UNIAO;47317;5516
NOVO CRUZEIRO;49050;24581
NOVO ORIENTE DE MINAS;40509;9071
NOVORIZONTE;41181;4559
OLARIA;49077;2156
OLHOS D'AGUA;41203;5178
OLIMPIO NORONHA;49093;2538
OLIVEIRA FORTES;49131;2147
OLIVEIRA;49115;32489
ONCA DE PITANGUI;49158;3289
ORATORIOS;41220;4382
ORIZANIA;41246;6582
OURO BRANCO;49174;29441
OURO FINO;49190;25085
OURO PRETO;49212;60425
OURO VERDE DE MINAS;49239;6802
PADRE CARVALHO;41262;5015
PADRE PARAISO;49255;14573
PAI PEDRO;41289;4990
PAINEIRAS;49271;4224
PAINS;49298;6755
PAIVA;49310;1708
PALMA;49336;5437
PALMOPOLIS;40525;6461
PAPAGAIOS;49379;11515
PARA DE MINAS;49417;61097
PARACATU;49395;63877
PARAGUACU;49433;16843
PARAISOPOLIS;49450;16251
PARAOPEBA;49476;18878
PASSA QUATRO;49514;13089
PASSA TEMPO;49530;7473
PASSA VINTE;49557;2126
PASSABEM;49492;1713
PASSOS;49573;79669
PATIS;41300;5014
PATOS DE MINAS;49590;108070
PATROCINIO DO MURIAE;49638;5377
PATROCINIO;49611;63006
PAULA CANDIDO;49654;7744
PAULISTAS;49670;4192
PAVAO;49697;6225
PECANHA;49719;13524
PEDRA AZUL;49735;19168
PEDRA BONITA;41327;5150
PEDRA DO ANTA;49751;3656
PEDRA DO INDAIA;49778;3530
PEDRA DOURADA;49794;2710
PEDRALVA;49816;9627
PEDRAS DE MARIA DA CRUZ;40541;8022
PEDRINOPOLIS;49832;3158
PEDRO LEOPOLDO;49859;46739
PEDRO TEIXEIRA;49875;2082
PEQUERI;49891;3194
PEQUI;49913;3677
PERDIGAO;49930;7922
PERDIZES;49956;11804
PERDOES;49972;16759
PERIQUITO;40568;6582
PESCADOR;49999;3639
PIAU;50016;2705
PIEDADE DE CARATINGA;41343;7354
