"42137";"CAMBUQUIRA";"8119";"Sul de Minas"
"42170";"CAMPANHA";"9714";"Sul de Minas"
"42196";"CAMPESTRE";"13176";"Sul de Minas"
"42250";"CAMPO DO MEIO";"8376";"Sul de Minas"
"42315";"CAMPOS GERAIS";"17211";"Sul de Minas"
"42471";"CAPETINGA";"5206";"Sul de Minas"
"42552";"CAPITOLIO";"5917";"Sul de Minas"
"42587";"TOCOS DO MOJI";"3197";"Sul de Minas"
"42714";"CAREACU";"4171";"Sul de Minas"
"42773";"CARMO DA CACHOEIRA";"7862";"Sul de Minas"
"42811";"CARMO DE MINAS";"7850";"Sul de Minas"
"42870";"CARMO DO RIO CLARO";"12735";"Sul de Minas"
"42919";"CARRANCAS";"2657";"Sul de Minas"
"42935";"CARVALHOPOLIS";"2574";"Sul de Minas"
"42951";"CARVALHOS";"3526";"Sul de Minas"
"43010";"CASSIA";"11585";"Sul de Minas"
"43095";"CAXAMBU";"14314";"Sul de Minas"
"43273";"CLARAVAL";"3907";"Sul de Minas"
"45470";"GONCALVES";"3071";"Sul de Minas"
"45616";"GUAPE";"8588";"Sul de Minas"
"45659";"GUARANESIA";"12182";"Sul de Minas"
"45730";"GUAXUPE";"30691";"Sul de Minas"
"45837";"HELIODORA";"4218";"Sul de Minas"
"45934";"IBIRACI";"7324";"Sul de Minas"
"45977";"IBITIURA DE MINAS";"2880";"Sul de Minas"
"46078";"IJACI";"4178";"Sul de Minas"
"46094";"ILICINEA";"7566";"Sul de Minas"
"46116";"INCONFIDENTES";"5277";"Sul de Minas"
"46159";"INGAI";"2307";"Sul de Minas"
"46299";"IPUIUNA";"6446";"Sul de Minas"
"46477";"ITAJUBA";"55494";"Sul de Minas"
"46574";"ITAMOGI";"7837";"Sul de Minas"
"46590";"ITAMONTE";"9146";"Sul de Minas"
"46612";"ITANHANDU";"9581";"Sul de Minas"
"46710";"ITAPEVA";"5901";"Sul de Minas"
"43990";"CORREGO NOVO";"3068";"Rio Doce"
"44415";"DIVINO DAS LARANJEIRAS";"3570";"Rio Doce"
"44431";"DIVINOLANDIA DE MINAS";"4478";"Rio Doce"
"44490";"DOM CAVATI";"4034";"Rio Doce"
"44610";"DORES DE GUANHAES";"4184";"Rio Doce"
"44733";"ENGENHEIRO CALDAS";"6120";"Rio Doce"
"45152";"FERNANDES TOURINHO";"2173";"Rio Doce"
"45373";"FREI INOCENCIO";"5659";"Rio Doce"
"45454";"GALILEIA";"4708";"Rio Doce"
"48798";"MUTUM";"17128";"Rio Doce"
"48836";"NACIP RAYDAN";"2190";"Rio Doce"
"48976";"NOVA MODICA";"2923";"Rio Doce"
"49670";"PAULISTAS";"3505";"Rio Doce"
"49719";"PECANHA";"10293";"Rio Doce"
"49999";"PESCADOR";"2680";"Rio Doce"
"50377";"POCRANE";"6466";"Rio Doce"
"50857";"RESPLENDOR";"10424";"Rio Doce"
"51357";"SABINOPOLIS";"9142";"Rio Doce"
"51497";"SANTA EFIGENIA DE MINAS";"3083";"Rio Doce"
"51632";"SANTA MARIA DO SUACUI";"9340";"Rio Doce"
"51896";"SANTA RITA DO ITUETO";"4352";"Rio Doce"
"52310";"SAO GERALDO DA PIEDADE";"2958";"Rio Doce"
"52515";"SAO JOAO DO ORIENTE";"5801";"Rio Doce"
"52558";"SAO JOAO EVANGELISTA";"8844";"Rio Doce"
"52590";"SAO JOSE DA SAFIRA";"3031";"Rio Doce"
"52655";"SAO JOSE DO DIVINO";"2858";"Rio Doce"
"52698";"SAO JOSE DO JACURI";"4156";"Rio Doce"
"52817";"SAO PEDRO DO SUACUI";"3692";"Rio Doce"
"52892";"SAO SEBASTIAO DO MARANHAO";"6638";"Rio Doce"
"53090";"SARDOA";"3219";"Rio Doce"
"53210";"SENHORA DO PORTO";"2663";"Rio Doce"
"53538";"SOBRALIA";"3851";"Rio Doce"
"53678";"TARUMIRIM";"8816";"Rio Doce"
"53732";"TIMOTEO";"48216";"Rio Doce"
"53899";"TUMIRITINGA";"4170";"Rio Doce"
"54313";"MATHIAS LOBATO";"2426";"Rio Doce"
"54372";"VIRGINOPOLIS";"6325";"Rio Doce"
"54399";"VIRGOLANDIA";"3502";"Rio Doce"
"40061";"CAPITAO ANDRADE";"3266";"Rio Doce"
"40096";"ACUCENA";"6541";"Rio Doce"
"40118";"AGUA BOA";"9388";"Rio Doce"
"40185";"ENTRE FOLHAS";"4600";"Rio Doce"
"40215";"AIMORES";"14840";"Rio Doce"
"40266";"IPABA";"10342";"Rio Doce"
"40304";"JAMPRUCA";"3317";"Rio Doce"
"40355";"ALPERCATA";"5157";"Rio Doce"
"40436";"ALVARENGA";"3373";"Rio Doce"
"40487";"NAQUE";"3948";"Rio Doce"
"40568";"PERIQUITO";"4912";"Rio Doce"
"40592";"ANTONIO DIAS";"7339";"Rio Doce"
